iter	Passed	Remaining
432	2450	379
433	2455	373
434	2461	367
435	2466	362
436	2472	356
437	2477	350
438	2482	345
439	2488	339
440	2493	333
441	2498	327
442	2503	322
443	2508	316
444	2513	310
445	2518	304
446	2523	299
447	2528	293
448	2534	287
449	2539	282
450	2544	276
451	2549	270
452	2554	265
453	2559	259
454	2564	253
455	2570	247
456	2575	242
457	2580	236
458	2585	230
459	2590	225
460	2595	219
461	2600	213
462	2606	208
463	2611	202
464	2616	196
465	2621	191
466	2627	185
467	2632	180
468	2637	174
469	2643	168
470	2648	163
471	2652	157
472	2658	151
473	2663	146
474	2668	140
475	2674	134
476	2679	129
477	2684	123
478	2689	117
479	2694	112
480	2699	106
481	2704	101
482	2710	95
483	2715	89
484	2720	84
485	2725	78
486	2730	72
487	2735	67
488	2740	61
489	2745	56
490	2750	50
491	2755	44
492	2760	39
493	2766	33
494	2771	27
495	2776	22
496	2782	16
497	2788	11
498	2793	5
499	2798	0
