iter	Logloss
0	0.639362152
1	0.5965527303
2	0.5623228398
3	0.5360730337
4	0.5147382509
5	0.498794678
6	0.4855288414
7	0.4751610947
8	0.4663866919
9	0.4593240377
10	0.4538980948
11	0.4491817517
12	0.4451655387
13	0.4419376848
14	0.4392401155
15	0.4370786804
16	0.4352300193
17	0.4337149087
18	0.4322811512
19	0.4311063438
20	0.4303143779
21	0.4291160254
22	0.4281730532
23	0.4271247555
24	0.4265620881
25	0.4257588715
26	0.4251945576
27	0.4246114294
28	0.4239451419
29	0.4233781083
30	0.4228971702
31	0.4223321133
32	0.4219668577
33	0.4216064266
34	0.421183972
35	0.4208302631
36	0.4204838978
37	0.4200221212
38	0.4197242202
39	0.4194448493
40	0.4190030569
41	0.4185612697
42	0.4182678448
43	0.4177251087
44	0.4173808072
45	0.4167280977
46	0.4162338856
47	0.4159663586
48	0.4156794053
49	0.415540785
50	0.4153294196
51	0.4150330517
52	0.4147146828
53	0.4143298262
54	0.4141552705
55	0.4139190758
56	0.413778835
57	0.4133651969
58	0.4130418511
59	0.4127520696
60	0.4126310565
61	0.4124076362
62	0.4122195733
63	0.4117221187
64	0.4115346889
65	0.4114288608
66	0.4110671985
67	0.410842863
68	0.4105450292
69	0.410357093
70	0.4102605488
71	0.4099067309
72	0.409670642
73	0.4094054892
74	0.409123085
75	0.4088187611
76	0.4086479647
77	0.4084004117
78	0.4080500829
79	0.4078082478
80	0.4073707726
81	0.4071634232
82	0.4070471601
83	0.4068542777
84	0.406635902
85	0.4063636912
86	0.4062554182
87	0.4060893487
88	0.4057912004
89	0.4054809348
90	0.4051873216
91	0.4047875916
92	0.4045480433
93	0.4042131836
94	0.4039150326
95	0.4036320071
96	0.4034221874
97	0.4030836577
98	0.4027291784
99	0.4025115164
100	0.4022603183
101	0.4018486
102	0.4015774921
103	0.4014362548
104	0.4012278839
105	0.4009983389
106	0.4007219885
107	0.4005335663
108	0.4004616862
109	0.400223195
110	0.4000468988
111	0.3998632483
112	0.3995452908
113	0.3992222567
114	0.3988693065
115	0.3985245854
116	0.398202659
117	0.3979040085
118	0.3975275559
119	0.3972745346
120	0.3969710277
121	0.3965855887
122	0.3963971849
123	0.3961457918
124	0.3958686397
125	0.3954560193
126	0.3952053024
127	0.39493364
128	0.3947589827
129	0.3943298117
130	0.3940836966
131	0.3937680134
132	0.3935374075
133	0.3932127761
134	0.3929148732
135	0.3925404405
136	0.3921631551
137	0.3917310062
138	0.3912190969
139	0.3910503742
140	0.3908225726
141	0.3904642559
142	0.3900945882
143	0.3897571627
144	0.3894247924
145	0.3890705764
146	0.388817507
147	0.3885829143
148	0.388179835
149	0.3879685839
150	0.3877423605
151	0.3875957661
152	0.3872790331
153	0.3871716399
154	0.3868485785
155	0.3864903665
156	0.3863158582
157	0.3860485826
158	0.3857418757
159	0.3852997142
160	0.3850543317
161	0.3847372998
162	0.3845515775
163	0.3845360903
164	0.3842858544
165	0.3838249339
166	0.3835999435
167	0.383333978
168	0.3830877177
169	0.3828683686
170	0.382505597
171	0.3822881234
172	0.3819254423
173	0.3816289715
174	0.3814422728
175	0.3812960424
176	0.3810583464
177	0.3808355838
178	0.3804808419
179	0.3801762523
180	0.3798804404
181	0.3796776788
182	0.3793919863
183	0.3790701216
184	0.3788046976
185	0.3785868995
186	0.378261184
187	0.3779326417
188	0.3775939131
189	0.3774037008
190	0.3772002323
191	0.3768852767
192	0.3767487294
193	0.3763985681
194	0.3761723296
195	0.3759432554
196	0.3757085686
197	0.3757010791
198	0.3753128874
199	0.3749961909
200	0.3746832956
201	0.3744256001
202	0.3741641058
203	0.373844875
204	0.3736332291
205	0.373395098
206	0.3730785656
207	0.3727761226
208	0.3727282456
209	0.3724901808
210	0.3724627613
211	0.3721085167
212	0.3719283761
213	0.3717777752
214	0.3715117983
215	0.3712076587
216	0.3709931053
217	0.3706798036
218	0.3703395067
219	0.3699320102
220	0.3697703804
221	0.3695138023
222	0.3692258722
223	0.369069315
224	0.3686554875
